0;1;4;
1;1;12;
2;1;28;
3;1;34;
4;4;12;
5;4;28;
6;12;28;
7;12;34;
8;12;35;
9;28;34;
10;28;35;
11;34;35;
12;34;54;
13;34;55;
14;34;61;
15;35;54;
16;35;55;
17;54;55;
18;55;61;
19;8;30;
20;30;37;
21;37;57;
22;37;71;
23;57;71;
24;57;73;
25;71;73;
26;71;78;
27;73;78;
28;73;94;
29;78;94;
30;2;13;
31;2;17;
32;2;23;
33;2;25;
34;2;58;
35;2;60;
36;2;68;
37;13;17;
38;17;23;
39;17;25;
40;17;58;
41;17;60;
42;23;25;
43;23;58;
44;23;60;
45;23;68;
46;25;58;
47;25;60;
48;25;68;
49;25;90;
50;58;60;
51;58;68;
52;58;90;
53;60;68;
54;60;90;
55;68;90;
56;6;16;
57;6;22;
58;6;36;
59;6;38;
60;16;22;
61;16;36;
62;16;38;
63;16;49;
64;22;36;
65;22;38;
66;22;49;
67;36;38;
68;38;49;
69;49;59;
70;59;85;
71;14;15;
72;14;24;
73;14;32;
74;14;46;
75;15;24;
76;15;32;
77;15;46;
78;15;48;
79;15;50;
80;15;52;
81;15;65;
82;15;67;
83;15;75;
84;15;76;
85;15;82;
86;24;32;
87;24;46;
88;24;48;
89;24;50;
90;24;52;
91;24;65;
92;24;67;
93;24;75;
94;24;76;
95;24;82;
96;32;46;
97;32;48;
98;32;50;
99;32;52;
100;32;65;
101;32;67;
102;32;75;
103;32;76;
104;32;82;
105;32;87;
106;32;88;
107;32;91;
108;46;48;
109;46;50;
110;46;52;
111;46;65;
112;46;67;
113;46;75;
114;46;76;
115;48;50;
116;48;52;
117;48;65;
118;48;67;
119;50;52;
120;50;65;
121;50;67;
122;52;65;
123;65;67;
124;65;75;
125;65;76;
126;65;82;
127;65;87;
128;65;88;
129;67;75;
130;67;76;
131;67;82;
132;67;87;
133;67;88;
134;75;76;
135;75;82;
136;75;87;
137;75;88;
138;75;91;
139;76;82;
140;82;87;
141;82;88;
142;87;88;
143;88;91;
144;19;21;
145;21;66;
146;21;70;
147;66;70;
148;70;74;
149;74;80;
150;80;98;
151;7;11;
152;7;18;
153;7;20;
154;7;29;
155;7;47;
156;7;64;
157;7;72;
158;7;77;
159;7;81;
160;7;84;
161;7;93;
162;7;95;
163;11;18;
164;11;20;
165;11;29;
166;11;47;
167;18;20;
168;18;29;
169;18;47;
170;18;64;
171;18;72;
172;20;29;
173;20;47;
174;20;64;
175;20;72;
176;20;77;
177;20;81;
178;20;84;
179;20;93;
180;29;47;
181;29;64;
182;47;64;
183;47;72;
184;47;77;
185;47;81;
186;47;84;
187;47;93;
188;64;72;
189;64;77;
190;64;81;
191;64;84;
192;64;93;
193;64;95;
194;72;77;
195;72;81;
196;72;84;
197;72;93;
198;72;95;
199;72;96;
200;77;81;
201;77;84;
202;77;93;
203;81;84;
204;84;93;
205;84;95;
206;84;96;
207;93;95;
208;93;96;
209;95;96;
210;0;5;
211;0;31;
212;5;31;
213;5;42;
214;5;43;
215;5;44;
216;5;86;
217;31;42;
218;31;43;
219;31;44;
220;31;86;
221;42;43;
222;42;44;
223;42;86;
224;42;97;
225;42;99;
226;43;44;
227;43;86;
228;43;97;
229;44;86;
230;86;97;
231;97;99;
232;3;9;
233;3;10;
234;3;26;
235;3;27;
236;3;33;
237;3;39;
238;3;41;
239;3;45;
240;3;51;
241;3;53;
242;3;56;
243;3;62;
244;9;10;
245;9;26;
246;9;27;
247;9;33;
248;9;39;
249;9;41;
250;9;45;
251;10;26;
252;10;27;
253;10;33;
254;10;39;
255;10;41;
256;10;45;
257;10;51;
258;10;53;
259;10;56;
260;10;62;
261;10;63;
262;26;27;
263;26;33;
264;26;39;
265;26;41;
266;26;45;
267;26;51;
268;26;53;
269;26;56;
270;27;33;
271;27;39;
272;27;41;
273;27;45;
274;27;51;
275;27;53;
276;27;56;
277;27;62;
278;27;63;
279;27;69;
280;27;79;
281;33;39;
282;33;41;
283;33;45;
284;33;51;
285;33;53;
286;33;56;
287;39;41;
288;39;45;
289;39;51;
290;39;53;
291;39;56;
292;39;62;
293;39;63;
294;39;69;
295;39;79;
296;41;45;
297;41;51;
298;41;53;
299;41;56;
300;41;62;
301;41;63;
302;41;69;
303;41;79;
304;45;51;
305;45;53;
306;45;56;
307;45;62;
308;45;63;
309;45;69;
310;45;79;
311;45;83;
312;51;53;
313;51;56;
314;51;62;
315;51;63;
316;53;56;
317;56;62;
318;56;63;
319;56;69;
320;62;63;
321;62;69;
322;62;79;
323;62;83;
324;62;89;
325;63;69;
326;63;79;
327;63;83;
328;63;89;
329;69;79;
330;69;83;
331;79;83;
332;79;89;
333;83;89;
334;40;92;
