0;14;22
2;32;97
3;40;77
4;40;92
5;77;92
6;7;10
7;10;30
8;10;39
9;10;42
10;10;54
11;30;39
12;30;42
13;30;54
14;30;55
15;30;63
16;30;64
17;30;68
18;30;81
19;39;42
20;39;54
21;42;54
22;42;55
23;42;63
24;42;64
25;42;68
26;54;55
27;55;63
28;63;64
29;63;68
30;63;81
31;64;68
32;64;81
33;68;81
34;13;51
35;13;69
36;13;75
37;13;79
38;51;69
39;69;75
40;75;79
41;57;58
42;57;60
43;57;96
44;58;60
45;60;96
46;15;83
47;15;85
48;83;85
49;53;80
50;80;86
51;18;25
52;18;27
53;18;28
54;18;34
55;18;47
56;18;50
57;18;65
58;18;67
59;18;72
60;18;74
61;18;88
62;18;90
63;18;95
64;25;27
65;25;28
66;25;34
67;25;47
68;25;50
69;25;65
70;27;28
71;27;34
72;27;47
73;27;50
74;27;65
75;27;67
76;27;72
77;28;34
78;28;47
79;28;50
80;28;65
81;28;67
82;28;72
83;28;74
84;28;88
85;28;90
86;34;47
87;34;50
88;34;65
89;47;50
90;47;65
91;47;67
92;47;72
93;47;74
94;47;88
95;47;90
96;50;65
97;65;67
98;67;72
99;72;74
100;72;88
101;72;90
102;74;88
103;74;90
104;74;95
105;88;90
106;90;95
107;6;12
108;6;16
109;6;29
110;6;56
111;6;61
112;12;16
113;12;29
114;12;56
115;12;61
116;16;29
117;29;56
118;56;61
119;41;49
120;41;71
121;49;71
122;71;94
123;2;19
124;2;36
125;19;36
126;19;43
127;19;59
128;19;76
129;19;89
130;36;43
131;43;59
132;59;76
133;59;89
134;59;99
135;76;89
136;76;99
137;89;99
138;4;5
139;4;9
140;4;11
141;4;44
142;4;45
143;4;46
144;4;62
145;4;78
146;5;9
147;5;11
148;5;44
149;5;45
150;5;46
151;9;11
152;9;44
153;9;45
154;9;46
155;9;62
156;9;78
157;11;44
158;11;45
159;11;46
160;11;62
161;11;78
162;11;84
163;11;91
164;44;45
165;44;46
166;44;62
167;45;46
168;46;62
169;46;78
170;62;78
171;78;84
172;84;91
173;0;17
174;0;21
175;0;24
176;0;33
177;0;52
178;0;73
179;0;87
180;17;21
181;17;24
182;17;33
183;21;24
184;24;33
185;24;52
186;24;73
187;33;52
188;33;73
189;33;87
190;52;73
191;52;87
192;73;87
193;31;35
194;31;37
195;35;37
196;1;20
197;1;23
198;1;38
199;1;48
200;20;23
201;20;38
202;23;38
203;38;48
204;3;8
205;3;26
206;3;66
207;3;70
208;8;26
209;8;66
210;8;70
211;8;98
212;26;66
213;26;70
214;66;70
215;66;98
216;70;98
217;82;93
